game_id,timestamp,secret_word,winner_side,mister_white_player,mister_white_provider,mister_white_model,eliminated_player,eliminated_provider,eliminated_model,total_votes_cast,vote_counts_json
82,2025-09-17T00:48:00.124601,kernel,mister_white,Emily,mistral,mistral-medium-latest,John,mistral,mistral-tiny,5,"{'John': 3, 'Sarah': 2}"
83,2025-09-17T00:48:40.384063,spring,citizens,Emily,mistral,mistral-large-latest,Emily,mistral,mistral-large-latest,5,"{'Emily': 2, 'Sarah': 1, 'Martin': 2}"
84,2025-09-17T00:48:49.130412,terminal,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,"{'Lucas': 1, 'Emily': 3, 'John': 1}"
85,2025-09-17T00:49:00.697434,delta,mister_white,Emily,mistral,open-mixtral-8x22b,John,mistral,mistral-medium-latest,5,"{'John': 4, 'Lucas': 1}"
86,2025-09-17T00:49:13.130844,seal,citizens,Emily,mistral,mistral-small-latest,Emily,mistral,mistral-small-latest,5,"{'Sarah': 2, 'Emily': 3}"
87,2025-09-17T00:50:09.544654,car,citizens,Emily,mistral,mistral-medium-latest,Emily,mistral,mistral-medium-latest,5,"{'Emily': 4, 'Sarah': 1}"
88,2025-09-17T00:50:21.434713,spring,citizens,Emily,mistral,mistral-large-latest,Emily,mistral,mistral-large-latest,5,"{'Emily': 3, 'Sarah': 1, 'Martin': 1}"
89,2025-09-17T00:52:08.557700,scale,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,{'Emily': 5}
90,2025-09-17T00:52:17.039506,War,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,{'Emily': 5}
91,2025-09-17T00:53:58.274747,bank,citizens,Emily,mistral,mistral-small-latest,Emily,mistral,mistral-small-latest,5,{'Emily': 5}
92,2025-09-17T00:54:14.510909,War,mister_white,Emily,mistral,mistral-medium-latest,Sarah,mistral,open-mixtral-8x22b,5,"{'Lucas': 2, 'Sarah': 3}"
